GEOID,NAME,city,state,pop,nhwht,hisp,hh,pov_p,medinc_h,C16002_004,C16002_007,C16002_010,C16002_013,limeng
6037,"Los Angeles County, California",Los Angeles County,CA,10105722,2676982,4893579,3295198,1688505,61015,243565,55583,128591,7818,435557
16013,"Blaine County, Idaho",Blaine County,ID,21583,16511,4535,8273,3180,58835,271,0,0,0,271
24031,"Montgomery County, Maryland",Montgomery County MD,MD,1039198,467734,197242,369242,72085,103178,9990,4623,8415,2139,25167
47037,"Davidson County, Tennessee",Nashville,TN,678322,382565,68326,273497,111103,53419,6900,1270,1825,2437,12432
107000,"Birmingham city, Alabama",Birmingham,AL,212265,48478,7332,90149,57730,33770,880,240,88,43,1251
137000,"Huntsville city, Alabama",Huntsville,AL,190501,111535,10509,81296,33458,51926,1014,167,378,44,1603
477000,"Tucson city, Arizona",Tucson,AZ,530905,238457,228012,209906,121994,39617,9094,654,1388,772,11908
606308,"Beverly Hills city, California",Beverly Hills,CA,34506,27207,2004,14902,3186,103698,60,1088,394,116,1658
643000,"Long Beach city, California",Long Beach,CA,470489,129957,201523,165001,88476,58314,7981,678,3621,152,12432
668252,"San Mateo city, California",San Mateo,CA,103500,44775,26475,38546,8197,103399,1812,607,1602,32,4053
670000,"Santa Monica city, California",Santa Monica,CA,92495,60076,14828,46358,9798,86084,762,1304,584,242,2892
820000,"Denver city, Colorado",Denver,CO,678467,363712,207100,287262,100611,60098,8742,1478,2171,1143,13534
827425,"Fort Collins city, Colorado",Fort Collins,CO,159150,128306,18726,61532,25683,60110,445,90,213,154,902
845970,"Longmont city, Colorado",Longmont,CO,91730,62112,23520,35020,10920,66349,955,60,101,13,1129
1150000,"Washington city, District of Columbia",Washington,DC,672391,241901,71829,277985,111025,77649,5821,1232,1363,1405,9821
1245000,"Miami city, Florida",Miami,FL,443007,46415,319782,164734,112478,33999,51449,3035,330,46,54860
1253000,"Orlando city, Florida",Orlando,FL,269414,102760,79890,109468,51047,45436,6525,1515,744,267,9051
1304000,"Atlanta city, Georgia",Atlanta,GA,465230,173337,21450,192929,97629,51701,1174,683,672,237,2766
1369000,"Savannah city, Georgia",Savannah,GA,145094,52496,6946,53664,32269,39386,429,268,199,9,905
1571550,"Urban Honolulu CDP, Hawaii",Honolulu,HI,350788,55980,24498,128935,39574,65707,277,237,16565,215,17294
1608830,"Boise City city, Idaho",Boise,ID,220859,182478,19133,88929,30511,54547,673,319,349,433,1774
1714000,"Chicago city, Illinois",Chicago,IL,2722586,890322,789713,1046789,550432,52497,48310,22126,13173,4638,88247
1814734,"Columbus city, Indiana",Columbus,IN,46926,37080,2681,18873,5632,57535,204,93,233,19,549
1822000,"Evansville city, Indiana",Evansville,IN,119806,95757,3583,51580,27001,36956,211,105,68,0,384
1836003,"Indianapolis city (balance), Indiana",Indianapolis,IN,853431,477245,86362,333316,167666,44709,8490,1048,2523,931,12992
1921000,"Des Moines city, Iowa",Des Moines,IA,214778,142831,28085,83916,37997,49999,1680,377,1265,456,3778
2071000,"Topeka city, Kansas",Topeka,KS,127139,87645,18168,53220,20511,46087,724,87,128,0,939
2079000,"Wichita city, Kansas",Wichita,KS,389054,245499,65090,151665,64875,48982,3361,342,1428,264,5395
2255000,"New Orleans city, Louisiana",New Orleans,LA,388182,118660,21448,154895,95346,38721,2024,308,1138,49,3519
2418750,"College Park city, Maryland","College Park, and the campus of the University of Maryland",MD,32186,16314,4008,7226,5661,64107,83,121,341,10,555
2426000,"Ellicott City CDP, Maryland",Ellicott City,MD,71737,41228,2195,25198,3007,124059,64,215,778,8,1065
2603000,"Ann Arbor city, Michigan",Ann Arbor,MI,119303,81859,5228,47524,23967,61247,157,338,1641,99,2235
2622000,"Detroit city, Michigan",Detroit,MI,679865,67579,51685,258471,252897,27838,3472,1203,330,1095,6100
2653780,"Midland city, Michigan",Midland,MI,41958,36730,1292,17574,5052,58910,0,25,53,0,78
2743000,"Minneapolis city, Minnesota",Minneapolis,MN,411452,246351,40147,172082,82022,55720,3377,578,1556,4774,10285
3502000,"Albuquerque city, New Mexico",Albuquerque,NM,556718,222796,270215,221119,100260,49878,7723,462,812,415,9412
3611000,"Buffalo city, New York",Buffalo,NY,259574,114231,29311,110636,77750,34268,2425,892,902,914,5133
3638077,"Ithaca city, New York",Ithaca,NY,30720,19683,2230,9869,9871,31967,29,72,282,0,383
3651000,"New York city, New York",New York,NY,8560072,2747159,2491496,3142405,1648288,57782,218113,118261,114462,15174,466010
3663000,"Rochester city, New York",Rochester,NY,209463,77108,37213,86180,66486,32347,3243,912,544,367,5066
3755000,"Raleigh city, North Carolina",Raleigh,NC,449477,240400,49226,176870,60295,61505,3208,558,1488,479,5733
3915000,"Cincinnati city, Ohio",Cincinnati,OH,298957,144219,10821,136180,82356,36429,1053,577,439,595,2664
3916000,"Cleveland city, Ohio",Cleveland,OH,388812,131338,43466,168496,133144,27854,3423,1223,985,743,6374
3918000,"Columbus city, Ohio",Columbus,OH,852144,484096,50707,345282,172653,49478,3983,2318,3288,2971,12560
3921000,"Dayton city, Ohio",Dayton,OH,140939,74134,5563,57778,42382,30128,388,110,240,147,885
4055000,"Oklahoma City city, Oklahoma",Oklahoma City,OK,629191,340999,120183,237895,105303,51581,8470,439,1949,224,11082
4075000,"Tulsa city, Oklahoma",Tulsa,OK,401352,220273,63466,164381,78716,44577,5215,314,1310,151,6990
4115800,"Corvallis city, Oregon",Corvallis,OR,56224,43558,4416,22379,13917,46285,107,87,522,48,764
4123850,"Eugene city, Oregon",Eugene,OR,163135,128236,15539,67335,34191,47489,509,48,764,64,1385
4159000,"Portland city, Oregon",Portland,OR,630331,447488,61214,260949,100073,61532,3162,1891,4386,900,10339
4260000,"Philadelphia city, Pennsylvania",Philadelphia,PA,1569657,548312,221777,591280,393924,40649,17366,10990,11165,1829,41350
4261000,"Pittsburgh city, Pennsylvania",Pittsburgh,PA,305012,197215,8985,134820,62126,44092,396,1267,1653,348,3664
4513330,"Charleston city, South Carolina",Charleston,SC,131204,94551,3747,53845,18285,61367,171,72,91,0,334
4652980,"Rapid City city, South Dakota",Rapid City,SD,72841,56215,3650,29723,11462,48895,79,18,41,39,177
4748000,"Memphis city, Tennessee",Memphis,TN,654723,170708,45741,250259,172031,38230,3834,454,1011,471,5770
4805000,"Austin city, Texas",Austin,TX,916906,445269,316709,361257,138274,63717,18388,1313,3216,766,23683
4827000,"Fort Worth city, Texas",Fort Worth,TX,835129,336135,290354,284687,138420,57309,17361,1310,1673,1002,21346
4835000,"Houston city, Texas",Houston,TX,2267336,564663,1008249,838950,472592,49399,97485,4695,12961,3154,118295
4845384,"McAllen city, Texas",McAllen,TX,139838,15310,119096,43987,34945,45057,7821,47,208,13,8089
4865000,"San Antonio city, Texas",San Antonio,TX,1461623,366363,935458,494260,267330,49711,32977,1510,2360,888,37735
4967000,"Salt Lake City city, Utah",Salt Lake City,UT,194188,127943,41439,76876,33750,54009,2052,793,636,254,3735
5010675,"Burlington city, Vermont",Burlington,VT,42453,35112,1214,16067,8736,47140,0,238,134,41,413
5167000,"Richmond city, Virginia",Richmond,VA,220892,88320,14343,89238,52942,42356,1361,175,224,138,1898
5168000,"Roanoke city, Virginia",Roanoke,VA,99572,59263,6012,42333,21046,41483,365,334,230,82,1011
5553000,"Milwaukee city, Wisconsin",Milwaukee,WI,599086,214553,110388,230463,159660,38289,7392,881,1264,471,10008
