GEOID,NAME,variable,estimate,moe,city,state
16013,"Blaine County, Idaho",B01003_001,21583,NA,Blaine County,ID
16013,"Blaine County, Idaho",B03002_003,16511,22,Blaine County,ID
16013,"Blaine County, Idaho",B03002_012,4535,NA,Blaine County,ID
16013,"Blaine County, Idaho",B11016_001,8273,380,Blaine County,ID
16013,"Blaine County, Idaho",B17021_002,3180,749,Blaine County,ID
16013,"Blaine County, Idaho",B19013_001,58835,5130,Blaine County,ID
16013,"Blaine County, Idaho",C16002_004,271,113,Blaine County,ID
16013,"Blaine County, Idaho",C16002_007,0,22,Blaine County,ID
16013,"Blaine County, Idaho",C16002_010,0,22,Blaine County,ID
16013,"Blaine County, Idaho",C16002_013,0,22,Blaine County,ID
